generator,n,held_out,clean_tpr1,clean_tpr5,gap_tpr1,gap_tpr1_ci_lo,gap_tpr1_ci_hi,gap_tpr5,gap_tpr5_ci_lo,gap_tpr5_ci_hi
Aura,300,False,0.9133333333333333,0.9633333333333334,0.0720238095238096,0.0215049603174603,0.10652380952380949,0.02496031746031746,0.012423611111111147,0.039903769841269865
FLUX.1-dev,800,True,0.5375,0.8375,0.028958333333333308,-0.06455059523809525,0.13059040178571413,0.07199404761904749,0.03310565476190472,0.09583891369047606
Gemini-nano-banana,2000,True,0.6725,0.8315,0.05428571428571427,-0.013850000000000029,0.10917425595238095,0.054642857142857215,0.032038690476190665,0.0689989583333333
MidJourney,2000,True,0.8865,0.976,0.038773809523809266,-0.038821428571428555,0.08659538690476186,0.021333333333333315,0.01289166666666668,0.028652678571428558
Mobius,300,False,0.8333333333333334,0.9433333333333334,0.028134920634920846,-0.022666666666666713,0.06136706349206339,0.02214285714285713,0.008506944444444237,0.04397023809523811
RealVisXL-V4.0,300,False,0.8033333333333333,0.91,0.02853174603174602,-0.0055049603174603225,0.07029067460317456,0.03472222222222221,0.009764880952381006,0.05461507936507941
SDXL,300,False,0.8033333333333333,0.89,0.032539682539682646,-0.012306547619047543,0.06894345238095237,0.023055555555555607,-0.0014533730158730522,0.03689781746031747
