generator,n,held_out,clean_tpr1,clean_tpr5,gap_tpr1,gap_tpr1_ci_lo,gap_tpr1_ci_hi,gap_tpr5,gap_tpr5_ci_lo,gap_tpr5_ci_hi
Aura,300,False,0.84,0.95,0.1086111111111111,0.07210813492063484,0.16344146825396824,0.06051587301587291,0.03742162698412693,0.07712797619047627
FLUX.1-dev,800,True,0.4325,0.67125,0.05852678571428571,0.010988839285714334,0.10343489583333335,0.0413392857142858,-0.0031037946428571395,0.08910714285714277
Gemini-nano-banana,2000,True,0.548,0.718,0.11648809523809528,0.08206086309523819,0.15339568452380947,0.07246428571428576,0.04670312499999998,0.09558720238095235
MidJourney,2000,True,0.8425,0.9525,0.11680357142857156,0.07810044642857149,0.16039226190476183,0.0408869047619046,0.02656741071428568,0.05227455357142838
Mobius,300,False,0.7633333333333333,0.8633333333333333,0.03984126984126979,0.01237996031746033,0.05980753968253968,0.028174603174603297,2.182539682530943e-05,0.05171626984126994
RealVisXL-V4.0,300,False,0.7533333333333333,0.86,0.05793650793650784,0.02882738095238095,0.0911170634920634,0.04892857142857143,0.02039880952380962,0.06914980158730157
SDXL,300,False,0.76,0.8266666666666667,0.05087301587301585,0.019029761904761897,0.08103769841269838,0.009960317460317447,-0.006927579365079442,0.03510218253968262
