generator,n,held_out,clean_tpr1,clean_tpr5,gap_tpr1,gap_tpr1_ci_lo,gap_tpr1_ci_hi,gap_tpr5,gap_tpr5_ci_lo,gap_tpr5_ci_hi
Aura,300,False,0.8933333333333333,0.9733333333333334,0.06948412698412698,0.04004861111111107,0.11205059523809507,0.03960317460317475,0.02389186507936505,0.05462797619047614
FLUX.1-dev,800,True,0.51125,0.8375,0.0011607142857142927,-0.0585360863095238,0.12563132440476182,0.0770386904761905,0.03998325892857142,0.10000706845238098
Gemini-nano-banana,2000,True,0.672,0.8635,0.05080952380952386,0.008255357142857092,0.12050967261904769,0.0724166666666668,0.04832291666666661,0.09031116071428563
MidJourney,2000,True,0.848,0.974,0.043678571428571344,-0.003122321428571442,0.10262008928571421,0.03379761904761902,0.02363437499999994,0.04178571428571432
Mobius,300,False,0.8266666666666667,0.95,0.021746031746031735,-0.023312499999999996,0.06905158730158734,0.029761904761904656,0.015197420634920605,0.05146726190476197
RealVisXL-V4.0,300,False,0.7966666666666666,0.9166666666666666,0.03789682539682537,-0.0002202380952381303,0.1030396825396825,0.04686507936507933,0.022201388888888937,0.06627976190476183
SDXL,300,False,0.7833333333333333,0.89,0.02055555555555555,-0.0046646825396826205,0.07537996031746032,0.029880952380952452,0.007631944444444422,0.04508134920634923
